"Year","County","Race","Mortality Rate","Births","Deaths"
2011,"PASQUOTANK","Native American",0,1,0
2011,"PASQUOTANK","Other",0,10,0
2011,"PASQUOTANK","White",4.67289719626168,214,1
2011,"PENDER","Black",20.4081632653061,98,2
2011,"PENDER","Hispanic",13.3333333333333,75,1
2011,"PENDER","Other",0,7,0
2011,"PENDER","White",0,431,0
2011,"PERQUIMANS","Black",0,25,0
2011,"PERQUIMANS","Hispanic",0,8,0
2011,"PERQUIMANS","Other",0,1,0
2011,"PERQUIMANS","White",11.9047619047619,84,1
2011,"PERSON","Black",26.3157894736842,114,3
2011,"PERSON","Hispanic",0,29,0
2011,"PERSON","Native American",0,3,0
2011,"PERSON","Other",0,2,0
2011,"PERSON","White",4.04858299595142,247,1
2011,"PITT","Black",19.4174757281553,824,16
2011,"PITT","Hispanic",5.05050505050505,198,1
2011,"PITT","Native American",0,10,0
2011,"PITT","Other",0,60,0
2011,"PITT","White",3.87221684414327,1033,4
2011,"POLK","Black",0,6,0
2011,"POLK","Hispanic",0,15,0
2011,"POLK","Other",0,1,0
2011,"POLK","White",0,102,0
2011,"RANDOLPH","Black",0,91,0
2011,"RANDOLPH","Hispanic",6.06060606060606,330,2
2011,"RANDOLPH","Native American",0,4,0
2011,"RANDOLPH","Other",0,26,0
2011,"RANDOLPH","White",3.59712230215827,1112,4
2011,"RICHMOND","Black",28.0373831775701,214,6
2011,"RICHMOND","Hispanic",0,46,0
2011,"RICHMOND","Native American",0,19,0
2011,"RICHMOND","Other",0,10,0
2011,"RICHMOND","White",6.49350649350649,308,2
2011,"ROBESON","Black",19.438444924406,463,9
2011,"ROBESON","Hispanic",4,250,1
2011,"ROBESON","Native American",10.2695763799743,779,8
2011,"ROBESON","Other",0,53,0
2011,"ROBESON","White",3.04878048780488,328,1
2011,"ROCKINGHAM","Black",24.6913580246914,162,4
2011,"ROCKINGHAM","Hispanic",11.7647058823529,85,1
2011,"ROCKINGHAM","Native American",0,3,0
2011,"ROCKINGHAM","Other",0,9,0
2011,"ROCKINGHAM","White",9.85221674876847,609,6
2011,"ROWAN","Black",12.448132780083,241,3
2011,"ROWAN","Hispanic",0,212,0
2011,"ROWAN","Native American",0,7,0
